city,neighborhood,normalized_neighborhood,arnona_zone,building_type,price_per_sqm_yearly,source_year,source_document,conflict_resolved,all_zones_found,notes
ירושלים,עממי,עממי,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,עץ החיים,עץ החיים,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,עץ חיים,עץ חיים,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,ערב אל סוואחרה,ערב אל סוואחרה,ג,2,64.23,2026,Jerusalem tax order 2026,false,ג,standard residential building type
ירושלים,פסגת זאב,פסגת זאב,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,פסגת זאב דרום,פסגת זאב דרום,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,פסגת זאב מזרח,פסגת זאב מזרח,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,פסגת זאב מערב,פסגת זאב מערב,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,פסגת זאב צפון,פסגת זאב צפון,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,פת,פת,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קומונה,קומונה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,קוממיות,קוממיות,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,קרית איטרי,קרית איטרי,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קרית אריה,קרית אריה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,קרית אתרי,קרית אתרי,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קרית האוניברסיטה,קרית האוניברסיטה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,קרית היובל,קרית היובל,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קרית היובל שיכון,קרית היובל שיכון,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קרית הממשלה,קרית הממשלה,א,2,107.65,2026,Jerusalem tax order 2026,false,א,standard residential building type
ירושלים,קרית מטרסדורף,קרית מטרסדורף,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
ירושלים,קרית מנחם,קרית מנחם,ב,2,86.34,2026,Jerusalem tax order 2026,true,ב;ג,appeared in multiple zones; highest price selected
ירושלים,קרית משה,קרית משה,א,2,107.65,2026,Jerusalem tax order 2026,true,א;ב,appeared in multiple zones; highest price selected
ירושלים,קרית צ אנז,קרית צ אנז,ב,2,86.34,2026,Jerusalem tax order 2026,false,ב,standard residential building type
